代號,名稱,排名,成交,漲跌價,漲跌幅,13Q3營業活動(億),13Q4營業活動(億),14Q1營業活動(億),14Q2營業活動(億),14Q3營業活動(億),14Q4營業活動(億),15Q1營業活動(億),15Q2營業活動(億),15Q3營業活動(億),15Q4營業活動(億),16Q1營業活動(億),16Q2營業活動(億),16Q3營業活動(億),16Q4營業活動(億),17Q1營業活動(億),17Q2營業活動(億),17Q3營業活動(億),17Q4營業活動(億),18Q1營業活動(億),18Q2營業活動(億),18Q3營業活動(億),18Q4營業活動(億),19Q1營業活動(億),19Q2營業活動(億),19Q3營業活動(億),19Q4營業活動(億),20Q1營業活動(億),20Q2營業活動(億),20Q3營業活動(億),20Q4營業活動(億),21Q1營業活動(億),21Q2營業活動(億),21Q3營業活動(億),21Q4營業活動(億),22Q1營業活動(億),22Q2營業活動(億),22Q3營業活動(億),22Q4營業活動(億),23Q1營業活動(億),23Q2營業活動(億),23Q3營業活動(億),23Q4營業活動(億),24Q1營業活動(億),24Q2營業活動(億),24Q3營業活動(億),24Q4營業活動(億),25Q1營業活動(億),25Q2營業活動(億)
2330,台積電,1.0,1305.0,5.0,0.38,2446.0,3474.0,949.0,1766.0,2679.0,4215.0,1560.0,2671.0,3852.0,5299.0,1215.0,2282.0,3546.0,5398.0,1610.0,2644.0,3812.0,5853.0,1607.0,2905.0,3846.0,5740.0,1527.0,2704.0,4122.0,6151.0,2030.0,3734.0,5635.0,8227.0,2278.0,4153.0,7340.0,11122.0,3722.0,7110.0,11237.0,16106.0,3852.0,5525.0,8471.0,12420.0,4363.0,8140.0,12060.0,18262.0,6256.0,11226.0
2317,鴻海,2.0,216.0,-3.5,-1.59,1039.0,1728.0,1090.0,353.0,1284.0,1907.0,1092.0,1525.0,1596.0,2423.0,486.0,957.0,1749.0,1740.0,769.0,806.0,204.0,-393.0,64.5,-857.0,-1103.0,-402.0,1311.0,1318.0,1360.0,2480.0,1322.0,953.0,2149.0,3776.0,-1338.0,-767.0,-1293.0,-982.0,617.0,319.0,965.0,1097.0,1403.0,2201.0,2862.0,4456.0,182.0,438.0,-186.0,1660.0,-511.0,219.0
2881,富邦金,3.0,88.3,1.8,2.08,-340.0,358.0,-474.0,-528.0,-54.8,-531.0,255.0,642.0,1408.0,2117.0,-144.0,-300.0,137.0,-234.0,-472.0,-586.0,-535.0,27.2,-720.0,-1132.0,-656.0,-31.7,319.0,-286.0,-131.0,1345.0,-1388.0,-982.0,582.0,509.0,-189.0,-460.0,587.0,324.0,604.0,388.0,1515.0,1452.0,-1433.0,-2340.0,-1004.0,-849.0,-599.0,-178.0,20.5,774.0,114.0,368.0
2603,長榮,4.0,179.0,1.0,0.56,25.2,22.1,1.7,12.4,60.2,112.0,54.2,76.8,64.5,52.2,-31.8,-1.05,-25.5,-7.38,22.5,54.8,92.3,112.0,1.39,7.06,29.9,29.9,28.8,79.6,129.0,198.0,24.8,134.0,294.0,519.0,443.0,1032.0,1945.0,3011.0,1238.0,2379.0,3623.0,4224.0,193.0,-167.0,-162.0,-138.0,248.0,569.0,1392.0,1923.0,413.0,563.0
2882,國泰金,5.0,65.6,0.5,0.77,-26.6,518.0,858.0,1097.0,2260.0,1546.0,-544.0,-697.0,-1201.0,-2090.0,877.0,147.0,1208.0,-321.0,216.0,2068.0,1674.0,1216.0,466.0,445.0,78.3,-865.0,815.0,1872.0,1516.0,1708.0,-167.0,1043.0,1805.0,1962.0,-694.0,859.0,406.0,725.0,-1089.0,-1817.0,-287.0,-263.0,843.0,1484.0,382.0,-592.0,-186.0,624.0,1394.0,-295.0,-289.0,2028.0
2454,聯發科,6.0,1315.0,5.0,0.38,229.0,396.0,91.4,222.0,339.0,443.0,60.0,45.5,52.1,234.0,79.6,202.0,233.0,325.0,-11.8,-23.4,46.1,213.0,-16.6,75.4,116.0,203.0,16.9,158.0,230.0,426.0,19.3,91.1,409.0,796.0,-14.5,267.0,224.0,471.0,307.0,663.0,855.0,1446.0,28.6,496.0,646.0,1661.0,252.0,751.0,1114.0,1561.0,134.0,591.0
2891,中信金,7.0,42.9,0.3,0.7,17.5,611.0,357.0,658.0,728.0,758.0,-85.4,245.0,1045.0,1348.0,78.4,-1042.0,-875.0,-521.0,-97.7,-40.2,81.3,-18.9,-169.0,58.3,627.0,285.0,-560.0,-395.0,-336.0,-471.0,541.0,-255.0,973.0,1908.0,-824.0,-104.0,216.0,-342.0,-783.0,227.0,407.0,946.0,-1485.0,-640.0,-1139.0,-165.0,-512.0,-276.0,-102.0,-654.0,-1027.0,967.0
2609,陽明,8.0,53.0,-0.3,-0.56,-0.71,-5.36,-22.1,-0.06,29.7,63.4,17.4,31.6,30.9,13.7,-37.4,-53.9,-105.0,-108.0,-2.37,11.0,32.1,19.2,-21.3,-35.4,-36.2,-31.0,22.4,52.5,105.0,112.0,36.3,110.0,161.0,350.0,321.0,728.0,1372.0,2099.0,766.0,1195.0,1774.0,2101.0,78.0,-172.0,-27.9,33.8,94.8,227.0,616.0,853.0,63.7,128.0
2382,廣達,9.0,290.0,5.0,1.75,609.0,483.0,158.0,140.0,206.0,54.4,-86.1,-98.0,-78.0,-0.36,493.0,488.0,638.0,470.0,336.0,55.6,83.1,-86.3,219.0,256.0,292.0,170.0,-36.7,135.0,93.6,377.0,318.0,93.5,344.0,780.0,-546.0,-680.0,-316.0,-238.0,-297.0,-153.0,135.0,114.0,380.0,737.0,848.0,1250.0,237.0,36.7,-435.0,-353.0,-345.0,420.0
2615,萬海,10.0,74.3,0.1,0.13,41.0,70.9,9.95,42.2,73.2,124.0,34.5,-9.64,14.6,87.3,9.88,21.4,26.9,41.4,2.39,22.4,54.1,70.8,5.68,17.5,31.6,50.0,19.7,42.6,72.6,80.2,9.55,39.4,69.4,176.0,174.0,415.0,873.0,1326.0,562.0,913.0,1236.0,1351.0,-5.86,-75.5,-43.3,-44.4,83.3,205.0,479.0,693.0,133.0,141.0
